item_index,word,selected_option
102,land,land.n.01; land; the land on which real estate is located
103,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
104,land,land.n.01; land; the land on which real estate is located
105,law,law.n.01; law; the collection of rules imposed by authority
106,condition,condition.n.01; condition; a state at a particular time
107,economy,economy.n.01; economy; the system of production and distribution and consumption
108,interest,sake.n.01; interest; a reason for wanting something done
109,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
110,direction,direction.n.03; direction; a general course along which something has a tendency to develop
111,program,program.n.02; program; a system of projects or services intended to meet a public need
112,state,state.n.03; state; the group of people comprising the government of a sovereign state
113,law,law.n.01; law; the collection of rules imposed by authority
114,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
115,tax,tax.n.01; tax; charge against a citizen's person or property or activity for the support of government
116,tax,tax.n.01; tax; charge against a citizen's person or property or activity for the support of government
117,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
118,state,state.n.03; state; the group of people comprising the government of a sovereign state
119,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
120,category,class.n.01; category; a collection of things sharing a common attribute
121,support,support.n.01; support; the activity of providing for or maintaining by supplying with money or necessities
122,health,health.n.02; health; the general condition of body and mind
123,service,service.n.04; service; a company or agency that performs a public service; subject to government regulation
124,family,family.n.01; family; a social unit living together
125,society,society.n.01; society; an extended social group having a distinctive cultural and economic organization
126,family,family.n.02; family; primary social group; parents and children
127,childhood,childhood.n.01; childhood; the time of person's life when they are a child
128,society,society.n.01; society; an extended social group having a distinctive cultural and economic organization
129,state,state.n.04; state; a politically organized body of people under a single government
130,father,father.n.01; father; a male parent (also used as a term of address to your father)
131,mother,mother.n.01; mother; a woman who has given birth to a child (also used as a term of address to your mother)
132,child,child.n.02; child; a human offspring (son or daughter) of any age
133,child,child.n.02; child; a human offspring (son or daughter) of any age
134,child,child.n.02; child; a human offspring (son or daughter) of any age
135,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
136,condition,condition.n.01; condition; a state at a particular time
137,state,state.n.03; state; the group of people comprising the government of a sovereign state
138,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
139,culture,culture.n.02; culture; the tastes in art and manners that are favored by a social group
140,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
141,tradition,custom.n.02; tradition; a specific practice of long standing
142,state,state.n.03; state; the group of people comprising the government of a sovereign state
143,state,state.n.03; state; the group of people comprising the government of a sovereign state
144,society,society.n.01; society; an extended social group having a distinctive cultural and economic organization
145,state,state.n.04; state; a politically organized body of people under a single government
146,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
147,technology,technology.n.01; technology; the practical application of science to commerce or industry
148,state,state.n.03; state; the group of people comprising the government of a sovereign state
149,organization,organization.n.01; organization; a group of people who work together
150,state,state.n.03; state; the group of people comprising the government of a sovereign state
151,quality,quality.n.02; quality; a degree or grade of excellence or worth
152,state,state.n.03; state; the group of people comprising the government of a sovereign state
153,organization,organization.n.01; organization; a group of people who work together
154,state,state.n.03; state; the group of people comprising the government of a sovereign state
155,science,science.n.01; science; a particular branch of scientific knowledge
156,state,state.n.03; state; the group of people comprising the government of a sovereign state
157,organization,organization.n.01; organization; a group of people who work together
158,state,state.n.03; state; the group of people comprising the government of a sovereign state
159,direction,direction.n.03; direction; a general course along which something has a tendency to develop
160,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
161,law,law.n.01; law; the collection of rules imposed by authority
162,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
163,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
164,content,content.n.01; content; everything that is included in a collection and that is held or included in something
165,security,security.n.01; security; the state of being free from danger or injury
166,health,health.n.02; health; the general condition of body and mind
167,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
168,service,service.n.04; service; a company or agency that performs a public service; subject to government regulation
169,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
170,law,law.n.01; law; the collection of rules imposed by authority
171,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
172,law,law.n.01; law; the collection of rules imposed by authority
173,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
174,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
175,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
176,sex,sex.n.02; sex; either of the two categories (male or female) into which most organisms are divided
177,language,language.n.01; language; a systematic means of communicating by the use of sounds or conventional symbols
178,religion,religion.n.02; religion; an institution to express belief in a divine power
179,status,status.n.01; status; the relative position or standing of things or especially persons in a society
180,law,law.n.01; law; the collection of rules imposed by authority
181,group,group.n.01; group; any number of entities (members) considered as a unit
182,law,law.n.01; law; the collection of rules imposed by authority
183,law,law.n.01; law; the collection of rules imposed by authority
184,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
185,man,man.n.01; man; an adult person who is male (as opposed to a woman)
186,woman,woman.n.01; woman; an adult female person (as opposed to a man)
187,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
188,life,life.n.01; life; a characteristic state or mode of living
189,health,health.n.02; health; the general condition of body and mind
190,life,animation.n.01; life; the condition of living or the state of being alive
191,death,death.n.02; death; the permanent end of all life functions in an organism or part of an organism
192,penalty,punishment.n.01; penalty; the act of punishing
193,family,family.n.01; family; a social unit living together
194,man,man.n.01; man; an adult person who is male (as opposed to a woman)
195,woman,woman.n.01; woman; an adult female person (as opposed to a man)
196,marriage,marriage.n.02; marriage; two people who are married to each other
197,state,state.n.03; state; the group of people comprising the government of a sovereign state
198,child,child.n.02; child; a human offspring (son or daughter) of any age
199,father,father.n.01; father; a male parent (also used as a term of address to your father)
200,mother,mother.n.01; mother; a woman who has given birth to a child (also used as a term of address to your mother)
201,child,child.n.02; child; a human offspring (son or daughter) of any age
202,parent,parent.n.01; parent; a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
203,marriage,marriage.n.01; marriage; the state of being a married couple voluntarily joined for life (or until divorce)
204,family,family.n.01; family; a social unit living together
205,child,child.n.02; child; a human offspring (son or daughter) of any age
206,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
207,child,child.n.01; child; a young person of either sex
208,interest,sake.n.01; interest; a reason for wanting something done
209,child,child.n.02; child; a human offspring (son or daughter) of any age
210,condition,condition.n.01; condition; a state at a particular time
211,parent,parent.n.01; parent; a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
212,state,state.n.03; state; the group of people comprising the government of a sovereign state
213,orphan,orphan.n.01; orphan; a child who has lost both parents
214,age,age.n.01; age; how long something has existed
215,child,child.n.01; child; a young person of either sex
216,war,war.n.02; war; a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply
217,disaster,calamity.n.01; disaster; an event resulting in great loss and misfortune
218,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
219,information,information.n.01; information; a message received and understood
220,conversation,conversation.n.01; conversation; the use of speech for informal exchange of views or ideas or information etc.
221,law,law.n.01; law; the collection of rules imposed by authority
222,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
223,law,law.n.01; law; the collection of rules imposed by authority
224,life,life.n.01; life; a characteristic state or mode of living
225,use,use.n.01; use; the act of using
226,life,life.n.01; life; a characteristic state or mode of living
227,action,action.n.01; action; something done (usually as opposed to something said)
228,harm,damage.n.01; harm; the occurrence of a change for the worse
229,action,action.n.01; action; something done (usually as opposed to something said)
230,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
231,law,law.n.01; law; the collection of rules imposed by authority
232,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
233,action,action.n.01; action; something done (usually as opposed to something said)
234,authority,authority.n.02; authority; (usually plural) persons who exercise (administrative) control over others
235,action,action.n.01; action; something done (usually as opposed to something said)
236,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
237,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
238,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
239,law,law.n.01; law; the collection of rules imposed by authority
240,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
241,thought,thought.n.03; thought; the organized beliefs of a period or group or individual
242,opinion,opinion.n.01; opinion; a personal belief or judgment that is not founded on proof or certainty
243,speech,speech.n.02; speech; (language) communication by word of mouth
244,opinion,opinion.n.01; opinion; a personal belief or judgment that is not founded on proof or certainty
245,information,information.n.01; information; a message received and understood
246,organization,organization.n.01; organization; a group of people who work together
247,information,information.n.01; information; a message received and understood
248,organization,organization.n.01; organization; a group of people who work together
249,information,information.n.02; information; knowledge acquired through study or experience or instruction
250,information,information.n.02; information; knowledge acquired through study or experience or instruction
251,information,information.n.02; information; knowledge acquired through study or experience or instruction
252,law,law.n.01; law; the collection of rules imposed by authority
253,religion,religion.n.01; religion; a strong belief in a supernatural power or powers that control human destiny
254,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
255,action,action.n.01; action; something done (usually as opposed to something said)
256,harm,damage.n.01; harm; the occurrence of a change for the worse
257,state,state.n.03; state; the group of people comprising the government of a sovereign state
258,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
259,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
260,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
261,state,state.n.03; state; the group of people comprising the government of a sovereign state
262,representative,representative.n.01; representative; a person who represents others
263,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
264,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
265,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
266,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
267,law,law.n.01; law; the collection of rules imposed by authority
268,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
269,information,information.n.01; information; a message received and understood
270,citizenship,citizenship.n.01; citizenship; the status of a citizen with rights and duties
271,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
272,law,law.n.01; law; the collection of rules imposed by authority
273,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
274,content,content.n.01; content; everything that is included in a collection and that is held or included in something
275,law,law.n.01; law; the collection of rules imposed by authority
276,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
277,law,law.n.01; law; the collection of rules imposed by authority
278,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
279,profession,profession.n.02; profession; an occupation requiring special education (especially in the liberal arts or sciences)
280,safety,safety.n.01; safety; the state of being certain that adverse effects will not be caused by some agent under defined conditions
281,condition,condition.n.01; condition; a state at a particular time
282,law,law.n.01; law; the collection of rules imposed by authority
283,wage,wage.n.01; wage; something that remunerates
284,condition,condition.n.01; condition; a state at a particular time
285,law,law.n.01; law; the collection of rules imposed by authority
286,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
287,condition,condition.n.07; condition; (usually plural) a statement of what is required as part of an agreement
288,law,law.n.01; law; the collection of rules imposed by authority
289,condition,condition.n.07; condition; (usually plural) a statement of what is required as part of an agreement
290,law,law.n.01; law; the collection of rules imposed by authority
291,state,state.n.03; state; the group of people comprising the government of a sovereign state
292,condition,condition.n.01; condition; a state at a particular time
293,health,health.n.02; health; the general condition of body and mind
294,state,state.n.03; state; the group of people comprising the government of a sovereign state
295,condition,condition.n.01; condition; a state at a particular time
296,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
297,network,network.n.01; network; an interconnected system of things or people
298,use,use.n.01; use; the act of using
299,law,law.n.01; law; the collection of rules imposed by authority
300,life,animation.n.01; life; the condition of living or the state of being alive
301,health,health.n.02; health; the general condition of body and mind
302,law,law.n.01; law; the collection of rules imposed by authority
303,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
304,law,law.n.01; law; the collection of rules imposed by authority
305,work,work.n.01; work; activity directed toward making or doing something
306,law,law.n.01; law; the collection of rules imposed by authority
307,state,state.n.03; state; the group of people comprising the government of a sovereign state
308,assistance,aid.n.02; assistance; the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
309,law,law.n.01; law; the collection of rules imposed by authority
310,level,degree.n.01; level; a position on a scale of intensity or amount or quality
311,state,state.n.03; state; the group of people comprising the government of a sovereign state
312,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
313,quality,quality.n.02; quality; a degree or grade of excellence or worth
314,state,state.n.03; state; the group of people comprising the government of a sovereign state
315,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
316,family,family.n.01; family; a social unit living together
317,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
318,condition,condition.n.01; condition; a state at a particular time
319,law,law.n.01; law; the collection of rules imposed by authority
320,education,education.n.01; education; the activities of educating or instructing; activities that impart knowledge or skill
321,organization,organization.n.01; organization; a group of people who work together
322,school,school.n.03; school; the process of being formally educated at a school
323,school,school.n.03; school; the process of being formally educated at a school
324,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
325,language,language.n.01; language; a systematic means of communicating by the use of sounds or conventional symbols
326,condition,condition.n.01; condition; a state at a particular time
327,state,state.n.03; state; the group of people comprising the government of a sovereign state
328,condition,condition.n.01; condition; a state at a particular time
329,state,state.n.03; state; the group of people comprising the government of a sovereign state
330,sport,sport.n.01; sport; an active diversion requiring physical exertion and competition
331,condition,condition.n.01; condition; a state at a particular time
332,state,state.n.03; state; the group of people comprising the government of a sovereign state
333,law,law.n.01; law; the collection of rules imposed by authority
334,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
335,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
336,state,state.n.03; state; the group of people comprising the government of a sovereign state
337,condition,condition.n.01; condition; a state at a particular time
338,family,family.n.01; family; a social unit living together
339,policy,policy.n.02; policy; a line of argument rationalizing the course of action of a government
340,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
341,interest,interest.n.01; interest; a sense of concern with and curiosity about someone or something
342,life,life.n.01; life; a characteristic state or mode of living
343,state,state.n.03; state; the group of people comprising the government of a sovereign state
344,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
345,culture,culture.n.02; culture; the tastes in art and manners that are favored by a social group
346,condition,condition.n.01; condition; a state at a particular time
347,law,law.n.01; law; the collection of rules imposed by authority
348,health,health.n.02; health; the general condition of body and mind
349,action,action.n.01; action; something done (usually as opposed to something said)
350,health,health.n.02; health; the general condition of body and mind
351,damage,damage.n.01; damage; the occurrence of a change for the worse
352,flora,vegetation.n.01; flora; all the plant life in a particular region or period
353,fauna,fauna.n.01; fauna; all the animal life in a particular region or period
354,law,law.n.01; law; the collection of rules imposed by authority
355,tax,tax.n.01; tax; charge against a citizen's person or property or activity for the support of government
356,citizenship,citizenship.n.01; citizenship; the status of a citizen with rights and duties
357,state,state.n.03; state; the group of people comprising the government of a sovereign state
358,relationship,relationship.n.03; relationship; a state involving mutual dealings between people or parties or countries
359,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
360,citizenship,citizenship.n.01; citizenship; the status of a citizen with rights and duties
361,state,state.n.04; state; a politically organized body of people under a single government
362,law,law.n.01; law; the collection of rules imposed by authority
363,citizenship,citizenship.n.01; citizenship; the status of a citizen with rights and duties
364,state,state.n.04; state; a politically organized body of people under a single government
365,citizenship,citizenship.n.01; citizenship; the status of a citizen with rights and duties
366,condition,condition.n.07; condition; (usually plural) a statement of what is required as part of an agreement
367,law,law.n.01; law; the collection of rules imposed by authority
368,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
369,passport,passport.n.02; passport; a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country
370,state,state.n.03; state; the group of people comprising the government of a sovereign state
371,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
372,republic,republic.n.02; republic; a form of government whose head of state is not a monarch
373,state,country.n.02; state; the territory occupied by a nation
374,border,boundary_line.n.01; border; a line that indicates a boundary
375,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
376,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
377,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
378,state,country.n.02; state; the territory occupied by a nation
379,rule,rule.n.01; rule; a principle or condition that customarily governs behavior
380,society,society.n.01; society; an extended social group having a distinctive cultural and economic organization
381,interest,interest.n.01; interest; a sense of concern with and curiosity about someone or something
382,law,law.n.01; law; the collection of rules imposed by authority
383,action,action.n.01; action; something done (usually as opposed to something said)
384,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
385,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
386,defense,defense.n.01; defense; (military) military action or resources protecting a country against potential enemies
387,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
388,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
389,law,law.n.01; law; the collection of rules imposed by authority
390,condition,condition.n.07; condition; (usually plural) a statement of what is required as part of an agreement
391,law,law.n.01; law; the collection of rules imposed by authority
392,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
393,state,state.n.03; state; the group of people comprising the government of a sovereign state
394,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
395,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
396,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
397,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
398,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
399,crime,crime.n.01; crime; (criminal law) an act punishable by law; usually considered an evil act
400,punishment,punishment.n.01; punishment; the act of punishing
401,law,law.n.01; law; the collection of rules imposed by authority
402,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
403,liberty,liberty.n.03; liberty; personal freedom from servitude or confinement or oppression
404,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
405,crime,crime.n.01; crime; (criminal law) an act punishable by law; usually considered an evil act
406,damage,wrong.n.02; damage; any harm or injury resulting from a violation of a legal right
407,crime,crime.n.01; crime; (criminal law) an act punishable by law; usually considered an evil act
408,law,law.n.01; law; the collection of rules imposed by authority
409,law,law.n.01; law; the collection of rules imposed by authority
410,law,law.n.01; law; the collection of rules imposed by authority
411,law,law.n.01; law; the collection of rules imposed by authority
412,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
413,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
414,law,law.n.01; law; the collection of rules imposed by authority
415,liberty,liberty.n.02; liberty; freedom of choice
416,liberty,liberty.n.02; liberty; freedom of choice
417,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
418,law,law.n.01; law; the collection of rules imposed by authority
419,liberty,liberty.n.02; liberty; freedom of choice
420,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
421,hour,hour.n.01; hour; a period of time equal to 1/24th of a day
422,hour,hour.n.01; hour; a period of time equal to 1/24th of a day
423,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
424,law,law.n.01; law; the collection of rules imposed by authority
425,lawyer,lawyer.n.01; lawyer; a professional person authorized to practice law; conducts lawsuits or gives legal advice
426,doctor,doctor.n.01; doctor; a licensed medical practitioner
427,law,law.n.01; law; the collection of rules imposed by authority
428,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
429,act,act.n.02; act; something that people do or cause to happen
430,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
431,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
432,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
433,law,law.n.01; law; the collection of rules imposed by authority
434,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
435,state,state.n.03; state; the group of people comprising the government of a sovereign state
436,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
437,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
438,law,law.n.01; law; the collection of rules imposed by authority
439,assistance,aid.n.02; assistance; the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
440,law,law.n.01; law; the collection of rules imposed by authority
441,aid,aid.n.02; aid; the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
442,state,state.n.03; state; the group of people comprising the government of a sovereign state
443,state,state.n.03; state; the group of people comprising the government of a sovereign state
444,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
445,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
446,speech,speech.n.02; speech; (language) communication by word of mouth
447,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
448,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
449,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
450,law,law.n.01; law; the collection of rules imposed by authority
451,law,law.n.01; law; the collection of rules imposed by authority
452,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
453,state,state.n.03; state; the group of people comprising the government of a sovereign state
454,state,state.n.03; state; the group of people comprising the government of a sovereign state
455,president,president.n.03; president; the chief executive of a republic
456,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
457,state,state.n.04; state; a politically organized body of people under a single government
458,policy,policy.n.02; policy; a line of argument rationalizing the course of action of a government
