item_index,word,selected_option
61,власть,143969-N; ПУБЛИЧНАЯ ВЛАСТЬ; права и полномочия органов государственного управления
62,преступление,"637-N; ПРЕСТУПЛЕНИЕ; нарушение, обход каких-то правил, норм или законов"
63,основа,"106569-N; СУТЬ, СУЩЕСТВО, СУЩНОСТЬ, СОДЕРЖАНИЕ; "
64,право,"422-N; ПРАВОВАЯ СИСТЕМА; обусловленная законом возможность делать, совершать что-либо, пользоваться чем-либо"
65,условие,"106445-N; УСЛОВИЕ ОСУЩЕСТВЛЕНИЯ, РЕАЛИЗАЦИИ; "
66,условие,"106448-N; ТРЕБОВАНИЕ, УСЛОВИЕ; "
67,направление,"106589-N; НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ; направление, путь, ход развития чего-либо"
68,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
69,человек,2149-N; ЧЕЛОВЕК; 
70,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
71,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
72,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
73,партия,"2382-N; ПОЛИТИЧЕСКАЯ ПАРТИЯ; политическая организация со своей структурой, уставом и программой действий"
74,партия,"2382-N; ПОЛИТИЧЕСКАЯ ПАРТИЯ; политическая организация со своей структурой, уставом и программой действий"
75,общество,"138577-N; ОБЩЕСТВО, СОЦИУМ; коллектив, множество людей, характеризующийся общностью социальной, экономической и культурной жизни"
76,группа,"106627-N; ГРУППА ЛЮДЕЙ; совокупность лиц, объединённых общей профессией, деятельностью, общностью интересов, взглядов и т.п."
77,основа,"106569-N; СУТЬ, СУЩЕСТВО, СУЩНОСТЬ, СОДЕРЖАНИЕ; "
78,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
79,безопасность,3856-N; БЕЗОПАСНОСТЬ; 
80,партия,"2382-N; ПОЛИТИЧЕСКАЯ ПАРТИЯ; политическая организация со своей структурой, уставом и программой действий"
81,религия,"2201-N; РЕЛИГИЯ; вероисповедание, конфессия"
82,религия,"2201-N; РЕЛИГИЯ; вероисповедание, конфессия"
83,государство,445-N; ГОСУДАРСТВО; 
84,культ,1124-N; РЕЛИГИОЗНЫЙ КУЛЬТ; 
85,власть,143970-N; ОРГАН ВЛАСТИ; органы государственного и местного управления
86,средство,Нет верного варианта
87,средство,Нет верного варианта
88,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
89,безопасность,3856-N; БЕЗОПАСНОСТЬ; 
90,государство,445-N; ГОСУДАРСТВО; 
91,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
92,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
93,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
94,информация,"928-N; ИНФОРМАЦИЯ; сведения, знания, передаваемые, хранимые или получаемые системой, например человеком; то, что некто сообщает или рассказывает; сообщения, новости"
95,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
96,оборона,Спорный случай
97,государство,445-N; ГОСУДАРСТВО; 
98,война,1663-N; ВОЙНА; организованная вооруженная борьба между государствами или общественными классами
99,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
100,разрешение,"114629-N; РАЗРЕШЕНИЕ (ПРАВО НА СОВЕРШЕНИЕ); согласие, даваемое кому-либо на совершение какого-либо действия; разрешение, позволение"
101,число,"106515-N; КОЛИЧЕСТВО, ВЕЛИЧИНА, ЧИСЛО; протяжённость, объём, размер чего-либо; то, что можно измерить, исчислить"
102,голос,"114644-N; ГОЛОС, ПРАВО ГОЛОСА; "
103,задача,"148650-N; ЗАДАЧА (ЦЕЛЬ); цель, то, что требует выполнения, решения, конкретных действий"
104,государство,445-N; ГОСУДАРСТВО; 
105,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
106,язык,2798-N; ЯЗЫК; 
107,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
108,язык,2798-N; ЯЗЫК; 
109,язык,2798-N; ЯЗЫК; 
110,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
111,представитель,"143594-N; ПРЕДСТАВИТЕЛЬ (ЛИЦО, ПРЕДСТАВЛЯЮЩЕЕ РАЗРЯД, ГРУППУ ЛЮДЕЙ); "
112,язык,2798-N; ЯЗЫК; 
113,условие,"106446-N; ОБСТОЯТЕЛЬСТВА, ОБСТАНОВКА, УСЛОВИЯ; совокупность условий и обстоятельств, создающих те или иные отношения; обстановка, положение"
114,флаг,"2023-N; ФЛАГ; полотнище особой формы и цвета, обычно прикрепляемое к древку или поднимаемое на специальной мачте (флагштоке), как правило, с изображением символического или ритуального свойства"
115,герб,"2022-N; ГЕРБ; отличительный знак государства, города, сословия, рода"
116,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
117,столица,3208-N; СТОЛИЦА ГОСУДАРСТВА; 
118,значение,Спорный случай
119,значение,Спорный случай
120,город,242-N; ГОРОД; 
121,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
122,сом,106284-N; КИРГИЗСКИЙ СОМ; 
123,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
124,суд,661-N; СУД; 
125,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
126,суд,661-N; СУД; 
127,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
128,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
129,основание,"106475-N; ОСНОВАНИЕ, ПРЕДЛОГ, МОТИВ; повод к чему-либо, обстоятельство, используемое для обоснования какого-либо действия"
130,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
131,государство,445-N; ГОСУДАРСТВО; 
132,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
133,памятник,"1580-N; ПАМЯТНИК ИСТОРИИ И КУЛЬТУРЫ; объект, являющийся свидетельством исторического события, частью культурного наследия страны, народа, человечества"
134,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
135,земля,"110-N; ЗЕМЕЛЬНЫЕ РЕСУРСЫ; грунт субстанция, составляющая верхний слой коры планеты Земля"
136,земля,"110-N; ЗЕМЕЛЬНЫЕ РЕСУРСЫ; грунт субстанция, составляющая верхний слой коры планеты Земля"
137,вода,Спорный случай
138,лес,258-N; ЛЕСНОЙ МАССИВ; 
139,мир,"153760-N; СООБЩЕСТВО (СОВОКУПНОСТЬ ЛЮДЕЙ); объединение, группа из некоторого числа людей, народов, государств, организаций, связанных общими интересами, целями"
140,ресурс,"106487-N; РЕСУРС, ИСТОЧНИК; "
141,земля,"110-N; ЗЕМЕЛЬНЫЕ РЕСУРСЫ; грунт субстанция, составляющая верхний слой коры планеты Земля"
142,ресурс,"106487-N; РЕСУРС, ИСТОЧНИК; "
143,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
144,основа,Спорный случай
145,государство,445-N; ГОСУДАРСТВО; 
146,земля,"110-N; ЗЕМЕЛЬНЫЕ РЕСУРСЫ; грунт субстанция, составляющая верхний слой коры планеты Земля"
147,лес,258-N; ЛЕСНОЙ МАССИВ; 
148,земля,Нет верного варианта
149,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
150,земля,Нет верного варианта
151,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
152,условие,"106446-N; ОБСТОЯТЕЛЬСТВА, ОБСТАНОВКА, УСЛОВИЯ; совокупность условий и обстоятельств, создающих те или иные отношения; обстановка, положение"
153,экономика,"49-N; ЭКОНОМИКА; сфера жизни, связанная с производством материальных благ и хозяйствованием"
154,направление,"106589-N; НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ; направление, путь, ход развития чего-либо"
155,программа,"118410-N; ПРОГРАММА, ПРОГРАММНЫЙ ДОКУМЕНТ; план действия, деятельности, работы"
156,государство,445-N; ГОСУДАРСТВО; 
157,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
158,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
159,государство,445-N; ГОСУДАРСТВО; 
160,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
161,налог,1242-N; НАЛОГ; установленный государством (местной властью) для граждан и юридических лиц обязательный платёж в казну государства или местной власти
162,налог,1242-N; НАЛОГ; установленный государством (местной властью) для граждан и юридических лиц обязательный платёж в казну государства или местной власти
163,налог,1242-N; НАЛОГ; установленный государством (местной властью) для граждан и юридических лиц обязательный платёж в казну государства или местной власти
164,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
165,государство,445-N; ГОСУДАРСТВО; 
166,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
167,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
168,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
169,категория,"120138-N; ТИП, ВИД, КЛАСС; иерархия в системе классификации живых организмов, часть более крупного подразделения — рода"
170,поддержка,"106472-N; ПОМОЩЬ, ПОДДЕРЖКА; "
171,труд,"840-N; ТРУД; действие по глаг. работать; то, чем кто-нибудь занят, занятие"
172,здоровье,"219-N; ЗДОРОВЬЕ; состояние организма, при котором правильно функционируют все его органы"
173,служба,106571-N; СЛУЖБА (СОВОКУПНОСТЬ ОРГАНИЗАЦИЙ В СФЕРЕ ДЕЯТ.); 
174,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
175,семья,"761-N; СЕМЬЯ; группа людей или животных, связанных близко-родственными отношениями и, обычно, живущих вместе"
176,общество,"138577-N; ОБЩЕСТВО, СОЦИУМ; коллектив, множество людей, характеризующийся общностью социальной, экономической и культурной жизни"
177,основа,"106569-N; СУТЬ, СУЩЕСТВО, СУЩНОСТЬ, СОДЕРЖАНИЕ; "
178,семья,"761-N; СЕМЬЯ; группа людей или животных, связанных близко-родственными отношениями и, обычно, живущих вместе"
179,общество,"138577-N; ОБЩЕСТВО, СОЦИУМ; коллектив, множество людей, характеризующийся общностью социальной, экономической и культурной жизни"
180,государство,445-N; ГОСУДАРСТВО; 
181,отец,2656-N; ОТЕЦ; 
182,мать,"758-N; МАТЬ; родительница, женщина по отношению к своим детям"
183,ребёнок,Нет верного варианта
184,ребёнок,Нет верного варианта
185,государство,445-N; ГОСУДАРСТВО; 
186,ребёнок,Нет верного варианта
187,условие,"106446-N; ОБСТОЯТЕЛЬСТВА, ОБСТАНОВКА, УСЛОВИЯ; совокупность условий и обстоятельств, создающих те или иные отношения; обстановка, положение"
188,государство,445-N; ГОСУДАРСТВО; 
189,человек,2149-N; ЧЕЛОВЕК; 
190,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
191,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
192,культура,1427-N; КУЛЬТУРА (СФЕРА ДЕЯТЕЛЬНОСТИ); 
193,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
194,традиция,107475-N; ТРАДИЦИЯ МНОГИХ ПОКОЛЕНИЙ; 
195,государство,445-N; ГОСУДАРСТВО; 
196,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
197,государство,445-N; ГОСУДАРСТВО; 
198,общество,"138577-N; ОБЩЕСТВО, СОЦИУМ; коллектив, множество людей, характеризующийся общностью социальной, экономической и культурной жизни"
199,государство,445-N; ГОСУДАРСТВО; 
200,технология,"853-N; ТЕХНОЛОГИЯ; совокупность методов, процессов и материалов, используемых в какой-либо отрасли деятельности, а также научное описание способов производства"
201,государство,445-N; ГОСУДАРСТВО; 
202,образование,Нет верного варианта
203,организация,"106560-N; ОРГАНИЗАЦИЯ, УЧРЕЖДЕНИЕ; самостоятельное административно-хозяйственное учреждение или ведомство либо автономное подразделение такого учреждения."
204,образование,Нет верного варианта
205,государство,445-N; ГОСУДАРСТВО; 
206,качество,"113275-N; КАЧЕСТВО (СТЕПЕНЬ ЦЕННОСТИ, ПРИГОДНОСТИ); "
207,государство,445-N; ГОСУДАРСТВО; 
208,организация,"106560-N; ОРГАНИЗАЦИЯ, УЧРЕЖДЕНИЕ; самостоятельное административно-хозяйственное учреждение или ведомство либо автономное подразделение такого учреждения."
209,государство,445-N; ГОСУДАРСТВО; 
210,наука,"20-N; НАУКА; система знаний, полученных в результате этой деятельности и составляющих научную картину мира"
211,государство,445-N; ГОСУДАРСТВО; 
212,организация,"106560-N; ОРГАНИЗАЦИЯ, УЧРЕЖДЕНИЕ; самостоятельное административно-хозяйственное учреждение или ведомство либо автономное подразделение такого учреждения."
213,государство,445-N; ГОСУДАРСТВО; 
214,кадр,Нет верного варианта
215,направление,"106589-N; НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ; направление, путь, ход развития чего-либо"
216,человек,2149-N; ЧЕЛОВЕК; 
217,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
218,человек,2149-N; ЧЕЛОВЕК; 
219,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
220,суд,661-N; СУД; 
221,человек,2149-N; ЧЕЛОВЕК; 
222,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
223,человек,2149-N; ЧЕЛОВЕК; 
224,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
225,безопасность,3856-N; БЕЗОПАСНОСТЬ; 
226,население,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
227,здоровье,"219-N; ЗДОРОВЬЕ; состояние организма, при котором правильно функционируют все его органы"
228,человек,2149-N; ЧЕЛОВЕК; 
229,служба,150662-N; СЛУЖИТЬ В АРМИИ; 
230,человек,2149-N; ЧЕЛОВЕК; 
231,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
232,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
233,человек,2149-N; ЧЕЛОВЕК; 
234,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
235,человек,2149-N; ЧЕЛОВЕК; 
236,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
237,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
238,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
239,пол,8465-N; ПОЛОВАЯ ПРИНАДЛЕЖНОСТЬ; 
240,язык,2798-N; ЯЗЫК; 
241,вероисповедание,"141191-N; РЕЛИГИОЗНОЕ ВЕРОВАНИЕ; религиозная система, вероучение со свойственной ему обрядностью"
242,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
243,группа,"106627-N; ГРУППА ЛЮДЕЙ; совокупность лиц, объединённых общей профессией, деятельностью, общностью интересов, взглядов и т.п."
244,возможность,"107695-N; ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ; условие или обстоятельство, позволяющее сделать, осуществить что-либо."
245,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
246,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
247,суд,661-N; СУД; 
248,мужчина,"2453-N; МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА; мужская особь человека, самец человека; лицо, противоположное женщине по полу"
249,женщина,"756-N; ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА; взрослый человек женского пола; лицо, противоположное мужчине по полу; самка человека"
250,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
251,возможность,"107695-N; ВОЗМОЖНОСТЬ ДЛЯ ОСУЩЕСТВЛЕНИЯ; условие или обстоятельство, позволяющее сделать, осуществить что-либо."
252,человек,2149-N; ЧЕЛОВЕК; 
253,жизнь,"114189-N; ЖИТЬ (СУЩЕСТВОВАТЬ); вести существование, быть живым"
254,жизнь,"114189-N; ЖИТЬ (СУЩЕСТВОВАТЬ); вести существование, быть живым"
255,казнь,3980-N; СМЕРТНАЯ КАЗНЬ; лишение человека жизни в качестве наказания
256,оборона,128542-N; ОБОРОНИТЕЛЬНЫЕ ДЕЙСТВИЯ; оборонять; защита чего-либо
257,оборона,128542-N; ОБОРОНИТЕЛЬНЫЕ ДЕЙСТВИЯ; оборонять; защита чего-либо
258,семья,"761-N; СЕМЬЯ; группа людей или животных, связанных близко-родственными отношениями и, обычно, живущих вместе"
259,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
